Poblacion,IMCV,Ind Entorno de la vivienda,Ind Servicios publicos,Ind Medio ambiente,Ind Escolaridad,Ind Desescolarizacion,Ind Movilidad,Ind Capital fisico,Ind Participacion,Ind Libertad y seguridad,Ind Vulnerabilidad,Ind Salud,Ind Trabajo,Ind Recreacion,Ind Percepcion calidad de vida,Ind Ingreso per-capita,Cultura Ciudadana,Infraestructura,Medio Ambiente,Movilidad,Salud,Seguridad,Biblioteca,Desarrollo Economico,Educacion,Educacion Superior,FONVALMED,Gestion del riesgo,Gestion y Control Territorial,INR,Inclusion Social,Jovenes,Mujeres,Museo Casa la Memoria,Participacion,APP,DAP,Gestion Humana,INDER,Vivienda
152158,47.94048,2.128001861,3.338988889,3.223654244,2.183714817,3.236503997,1.921978537,4.933521739,1.514550241,1.983496894,13.68736637,4.229365063,0.559388284,0,1.614231151,3.09657581,984000000,1380000000,409000000,544000000,32500000000,4090000000,41200000,6660000000,80500000000,9420000000,0,631000000,13600000000,0,15600000000,341000000,745000000,29000000,0,92100000,853000000,241000000,6890000000,8160000000
196267,42.73247,1.530192041,3.375416524,3.354212506,1.982072169,3.240021358,1.862888352,3.995545643,1.587046493,1.989534357,10.90185319,4.116896201,0.504728957,0,1.587670863,2.809551529,3990000000,2140000000,658000000,77700000,70600000000,3430000000,0,7620000000,84500000000,10700000000,0,985000000,26100000000,0,15100000000,451000000,908000000,137000000,0,0,1260000000,181000000,4650000000,7330000000
177874,42.98343,1.449084859,3.230893279,3.462411781,2.404275569,3.210027269,1.816127964,4.144295635,1.495616918,1.981086327,10.1289321,4.144463176,0.543021437,0,1.597307184,2.858416107,3960000000,1480000000,1800000000,892000000,50600000000,17500000000,0,8190000000,109000000000,36200000000,0,779000000,23300000000,0,22400000000,804000000,1180000000,177000000,0,0,1110000000,422000000,6080000000,5220000000
139950,39.75321,1.255308292,3.081125868,3.332483776,2.09985046,3.209673051,1.838581388,3.556157999,0.882991528,1.975760478,9.149236909,3.849892613,0.476055656,0,1.55733096,2.778242992,3820000000,7250000000,1740000000,232000000,69400000000,3430000000,0,6040000000,87900000000,10300000000,0,1630000000,21400000000,0,21200000000,295000000,1080000000,189000000,0,0,1150000000,181000000,4350000000,7160000000
137533,46.17987,1.897584719,3.304541013,3.556843706,2.431990996,3.208532048,1.869015188,4.500086856,1.393949559,1.996188249,12.25490339,4.217691463,0.561443149,0,1.641431259,2.892622016,2300000000,3490000000,1140000000,866000000,36800000000,3880000000,0,7270000000,96800000000,10100000000,0,684000000,15900000000,0,13600000000,260000000,577000000,169000000,0,92100000,897000000,301000000,3390000000,10000000000
85841,53.30388,2.738975601,3.18432945,3.14971578,2.883035289,3.227964737,1.818875505,5.427882294,1.616461264,1.956152844,15.61077845,4.334713158,0.603262956,0,1.658595548,2.938293554,11700000000,16100000000,485000000,3050000000,16700000000,27300000000,0,6710000000,54500000000,1360000000,0,809000000,13100000000,0,32100000000,262000000,592000000,167000000,0,2640000000,425000000,241000000,2040000000,580000000
123389,66.57553,4.343765862,3.357425665,3.599731632,4.34773637,3.251874166,1.915001653,7.72655629,1.609598439,1.97903307,23.74036281,4.681284846,0.662608943,0,1.802166146,3.420230753,2190000000,6130000000,711000000,2620000000,4150000000,7640000000,769000000,6420000000,15300000000,861000000,0,519000000,7970000000,0,2850000000,160000000,191000000,137000000,0,698000000,321000000,181000000,15200000000,229000000
97698,60.12283,3.562755648,3.3918,3.49312601,3.31834375,3.256993522,1.829381734,6.804957407,1.62223588,2.034903788,19.42544331,4.453958809,0.589006894,0,1.748704983,3.236798837,2430000000,3400000000,417000000,544000000,6700000000,3290000000,0,4460000000,57800000000,2240000000,0,360000000,5640000000,0,6410000000,165000000,290000000,134000000,0,0,393000000,181000000,2880000000,293000000
140758,39.97,1.120889387,3.014089629,2.790220743,2.008793873,3.195917897,1.783172504,3.300417318,0.896073806,1.977943126,8.807425567,4.042695559,0.498998553,0,1.532356295,2.618502364,3360000000,4440000000,895000000,1450000000,67400000000,4990000000,51500000,6510000000,60500000000,11100000000,0,672000000,23300000000,0,24400000000,391000000,1080000000,30400000,0,0,1140000000,301000000,4880000000,8830000000
134873,64.90028,3.612462621,3.384140777,3.376754369,4.390086338,3.254878095,1.65499551,7.745102549,1.423445995,2.189212015,21.52013761,4.808989355,0.743981189,0,1.838073483,3.531579187,3720000000,13000000000,1000000000,2830000000,3980000000,10100000000,0,6690000000,22600000000,284000000,0,599000000,8440000000,0,3040000000,135000000,124000000,30500000,0,3960000000,300000000,301000000,1160000000,170000000
96462,47.3747,1.97684,3.360656095,3.207969231,2.288598805,3.210693964,1.93236355,4.633915976,1.653570414,2.022729467,12.77834959,4.363332699,0.635894911,0,1.654357515,2.995761538,2130000000,5360000000,444000000,869000000,15400000000,3150000000,0,4900000000,35200000000,1510000000,0,316000000,8930000000,0,5460000000,193000000,163000000,12100000,0,0,508000000,181000000,6130000000,628000000
197625,51.53318,2.427139786,3.380521944,3.556580057,2.671159084,3.233088179,1.8557594,5.264761866,1.606614429,2.011696497,14.58482621,4.504398771,0.594679679,0,1.635342857,3.032151823,4150000000,11700000000,2670000000,1160000000,31500000000,5770000000,0,11300000000,60300000000,4740000000,0,979000000,17000000000,0,10500000000,291000000,551000000,125000000,0,0,845000000,361000000,6740000000,906000000
8194,36.6684,0.986000617,2.365517284,4.2179,1.759539873,3.070742593,1.670782099,3.072347531,1.122407407,2.07652963,7.446171605,3.783564198,0.432696296,0,1.708022222,2.818411728,470000000,4490000000,285000000,79000000,2980000000,802000000,0,5140000000,6550000000,365000000,0,195000000,1680000000,0,1400000000,97400000,108000000,3580000,0,0,232000000,6790000,624000000,5190000000
112088,41.58,1.383892556,3.177192308,4.107379901,1.936070938,3.22371158,1.777815219,3.665184285,1.49066981,1.994566501,10.04498577,3.931660333,0.571793466,0,1.537217618,2.750371299,3280000000,7770000000,875000000,274000000,30500000000,2110000000,0,8620000000,57200000000,5090000000,0,454000000,24100000000,0,15800000000,300000000,632000000,716000,0,0,648000000,90300000,3760000000,3520000000
42158,47.77,1.238755136,3.069517825,3.362477644,1.749136866,3.224501208,1.718819637,3.284435347,1.657346828,1.847439879,9.105692598,3.822035814,0.542495015,0,1.553609215,2.697602719,690000000,3820000000,43300000000,104000000,10400000000,1470000000,0,1850000000,12800000000,1800000000,0,312000000,9970000000,0,3820000000,166000000,374000000,9240000,0,0,363000000,15600000,1250000000,1210000000
130575,46.01,1.826459642,3.319961587,3.472807777,2.090887972,3.224897667,1.718824038,4.219757502,1.511242768,2.052636606,12.39751143,4.232147133,0.623049222,0,1.597272006,2.89032224,2820000000,5620000000,510000000,153000000,20800000000,2400000000,36100000,4470000000,57500000000,5720000000,0,1290000000,20400000000,0,11700000000,321000000,321000000,17200000,0,0,686000000,117000000,3840000000,2320000000
21828,41.58,1.132497971,2.397333333,4.147581739,1.876681159,3.214345797,1.729031014,3.925503216,1.240612754,2.010269565,9.371263188,3.730779941,0.573286957,0,1.635109565,2.855916812,2040000000,1880000000,3030000000,236000000,4370000000,1070000000,0,3880000000,8900000000,821000000,0,445000000,12700000000,0,2400000000,105000000,130000000,358000,0,0,261000000,23700000,974000000,331000000
