Poblacion,IMCV,Ind Entorno de la vivienda,Ind Servicios publicos,Ind Medio ambiente,Ind Escolaridad,Ind Desescolarizacion,Ind Movilidad,Ind Capital fisico,Ind Participacion,Ind Libertad y seguridad,Ind Vulnerabilidad,Ind Salud,Ind Trabajo,Ind Recreacion,Ind Percepcion calidad de vida,Ind Ingreso per-capita,Cultura Ciudadana,Infraestructura,Medio Ambiente,Movilidad,Salud,Seguridad,Biblioteca,Desarrollo Economico,Educacion,Educacion Superior,FONVALMED,Gestion del riesgo,Gestion y Control Territorial,INR,Inclusion Social,Jovenes,Mujeres,Museo Casa la Memoria,Participacion,APP,DAP,Gestion Humana,INDER,Vivienda
93072,40.38,2.56,3.54,3.11,1.95,4.14,1.44,4.8,1.16,1.71,9.21,2.98,0.59,0.06,1.48,1.45,1060000000,4160000000,589000000,26500000,4080000000,2020000000,,3940000000,44900000000,3560000000,,325000000,8920000000,,10500000000,165000000,397000000,85200000,1240000000,,162000000,76000000,2660000000,7060000000
38574,43.62,3.71,3.29,3.1,2.37,4.22,1.43,5.34,0.95,1.55,11.51,2.99,0.42,0.08,1.55,1.44,466000000,17300000000,11500000000,9060000,1620000000,863000000,,1090000000,9320000000,3410000000,,277000000,2950000000,,2920000000,68000000,171000000,2790000,790000000,,60500000,37500000,622000000,450000000
117594,43.96,3.36,3.81,2.88,2.18,4.18,1.39,5.51,1.24,1.71,10.6,3.41,0.63,0.07,1.52,1.56,989000000,1920000000,188000000,82300000,3620000000,2040000000,17500000,1980000000,41200000000,3970000000,,5230000000,4750000000,,9560000000,168000000,346000000,6220000,925000000,,183000000,76000000,1980000000,349000000
19559,39.5,2.3,2.56,3.36,2,4.03,1.25,4.99,1.15,1.94,9.05,3.17,0.57,0.08,1.55,1.41,3280000000,4310000000,28500000000,2970000,714000000,933000000,,1820000000,6410000000,3010000000,,303000000,4540000000,,1590000000,88600000,158000000,4380000,655000000,,21900000,14700000,730000000,183000000
108660,34.75,1.43,3.54,2.25,1.73,4.04,1.37,3.94,1.12,1.74,6.96,3.05,0.54,0.07,1.43,1.38,1250000000,2490000000,2240000000,1730000,4210000000,3040000000,379000000,5230000000,77200000000,13900000000,,1520000000,12800000000,,23000000000,,773000000,16200000,1330000000,,325000000,,3350000000,4350000000
95691,37.08,2.01,3.76,2.26,1.81,4.11,1.38,4.34,1.15,1.79,8,2.96,0.55,0.03,1.44,1.41,845000000,3060000000,903000000,2560000,3560000000,2710000000,126000000,6170000000,68700000000,10700000000,,327000000,11500000000,,15700000000,,694000000,20500000,1170000000,,267000000,,2800000000,6810000000
139128,37.45,2,3.72,2.47,1.82,4.17,1.34,4.4,1.15,1.71,8.13,3.03,0.47,0.08,1.39,1.49,1470000000,2020000000,4330000000,60600000,5510000000,3090000000,,10400000000,81800000000,17800000000,,883000000,18500000000,,24500000000,,692000000,63000000,1170000000,,472000000,,3450000000,6310000000
143175,44.12,3.47,3.91,2.44,2.01,4.22,1.51,5.61,1.32,1.79,10.66,3.19,0.51,0.1,1.49,1.66,5490000000,5790000000,1750000000,555000000,3800000000,10500000000,39300000,6620000000,71300000000,15300000000,,511000000,16400000000,,20300000000,,831000000,25500000,1280000000,,516000000,,3580000000,6740000000
135720,48.06,4.29,4.04,2.64,2.23,4.29,1.58,6.32,1.34,1.73,12.13,3.36,0.6,0.1,1.51,1.89,624000000,6890000000,822000000,237000000,3160000000,10400000000,39300000,4930000000,77300000000,15100000000,,370000000,11400000000,,15100000000,,590000000,34000000,1130000000,,316000000,,4460000000,8380000000
170327,40.79,2.56,4.05,2.57,1.91,4.15,1.52,4.96,1.28,1.76,9.17,3.15,0.49,0.08,1.46,1.55,2380000000,4540000000,1170000000,19700000,4160000000,3720000000,126000000,4640000000,76900000000,16900000000,,580000000,19200000000,,14600000000,,947000000,54000000,1410000000,,383000000,,4510000000,3730000000
153728,46.12,3.53,4.02,2.89,2.53,4.21,1.46,5.92,1.38,1.62,10.8,3.54,0.52,0.09,1.56,1.83,1780000000,8680000000,1420000000,366000000,2910000000,6950000000,253000000,5220000000,116000000000,33500000000,,516000000,17500000000,,25300000000,,1080000000,79500000,1140000000,,321000000,,2680000000,15500000000
118828,39.67,2.3,3.71,2.47,2,4.19,1.44,4.9,1.24,1.75,8.85,3.11,0.49,0.07,1.48,1.53,2130000000,9860000000,2260000000,30800000,2730000000,4130000000,126000000,4000000000,77000000000,15600000000,,2530000000,19400000000,,19800000000,,805000000,127000000,1200000000,,441000000,,4650000000,4650000000
123332,49.91,4.4,4,2.91,2.52,4.3,1.63,6.64,1.35,1.86,12.39,3.62,0.56,0.07,1.61,1.99,1720000000,6910000000,1110000000,67700000,3670000000,6360000000,126000000,4690000000,58800000000,16300000000,,413000000,12800000000,,14200000000,,413000000,87600000,1260000000,,258000000,,3350000000,7990000000
79280,56.42,6.59,4,2.55,3,4.39,1.66,7.52,1.51,1.58,15.51,3.66,0.57,0.14,1.58,2.32,8270000000,108000000000,691000000,4140000000,1970000000,44900000000,,4390000000,61900000000,3050000000,,420000000,10500000000,,25900000000,,434000000,162000000,1100000000,,75400000,,2800000000,2980000000
116660,69.62,8.81,4.18,3.13,3.86,4.49,1.72,10.53,1.71,1.74,19.86,4.14,0.49,0.13,1.73,3.11,1680000000,8500000000,1260000000,3930000000,3030000000,14300000000,3650000000,5850000000,12800000000,4050000000,,346000000,9170000000,,2930000000,,122000000,54700000,974000000,,19400000,,7360000000,612000000
91987,61.94,7.28,4.1,3.19,3.21,4.4,1.73,8.83,1.62,1.69,16.93,3.99,0.53,0.14,1.67,2.66,2530000000,3460000000,1060000000,58500000,2780000000,6000000000,126000000,3130000000,35800000000,4760000000,,195000000,8600000000,,11700000000,,215000000,26700000,1050000000,,139000000,,2230000000,489000000
119309,40.42,2.41,3.81,2.78,2.16,4.13,1.41,4.98,1.37,1.22,8.92,3.18,0.52,0.08,1.45,1.67,1380000000,14900000000,2360000000,1240000000,2600000000,6850000000,292000000,4180000000,57300000000,17600000000,,483000000,13200000000,,20000000000,,994000000,29100000,1500000000,,437000000,,2740000000,4680000000
124967,76.6,9.41,4.3,3.52,4.84,4.46,1.8,12.74,1.81,1.78,21.07,4.42,0.67,0.16,1.92,3.64,3160000000,16500000000,1350000000,5590000000,1700000000,15300000000,126000000,6480000000,16600000000,3410000000,,357000000,8700000000,,2740000000,,62600000,66000000,974000000,,12300000,,1720000000,278000000
87302,52.35,5.23,4.08,2.82,2.34,4.4,1.6,6.86,1.43,1.72,13.7,3.75,0.65,0.1,1.62,2.04,928000000,,,,,,,,25500000000,0,,,,,,,,,1240000000,,,,,
179908,57.43,6.02,4.14,2.98,3.08,4.35,1.56,8.19,1.53,1.73,15.12,3.92,0.58,0.1,1.63,2.48,2990000000,28100000000,9930000000,218000000,4370000000,9010000000,126000000,8370000000,45300000000,8950000000,,5280000000,12400000000,,11300000000,,512000000,79800000,1280000000,,307000000,,5190000000,5650000000
6496,39.22,1.8,2.87,4.82,2.06,3.87,1.31,4.36,1.4,2.09,8.1,3.03,0.58,0.08,1.64,1.32,201000000,5220000000,1140000000,,106000000,1020000000,126000000,3280000000,8290000000,1140000000,,441000000,3620000000,,1330000000,,33700000,24400,984000000,,8830000,,479000000,97654950
84816,38.76,2.19,3.59,2.95,1.97,4.07,1.43,4.62,1.19,1.7,8.5,2.83,0.58,0.03,1.44,1.48,1040000000,3260000000,1540000000,14700000,2000000000,2680000000,126000000,4970000000,45500000000,10500000000,,327000000,16000000000,,12300000000,,665000000,36800000,1290000000,,161000000,,3250000000,8290000000
33083,39.44,2.49,3.19,3.14,1.95,4.1,1.46,4.5,1.14,1.51,9.03,3.13,0.46,0.03,1.45,1.38,323000000,6610000000,20000000000,2390,1460000000,1140000000,126000000,1340000000,8490000000,4330000000,,179000000,6340000000,,4230000000,,267000000,1380000,1000000000,,143000000,,747000000,792000000
104561,45.7,3.38,3.94,3.09,2.19,4.22,1.41,5.62,1.31,1.8,10.89,3.66,0.61,0.04,1.62,1.75,1110000000,4360000000,1590000000,2160000,4040000000,2790000000,292000000,2270000000,42800000000,9390000000,,970000000,10100000000,,12200000000,,440000000,8100000,1370000000,,263000000,,3250000000,860000000
17163,45.57,3.29,2.7,3.97,2.52,4,1.44,6.25,1.45,2.04,10.5,3.07,0.61,0,1.59,1.77,676000000,3010000000,5930000000,44800,364000000,1290000000,126000000,1700000000,6960000000,2380000000,,169000000,7950000000,,2050000000,,216000000,86700,968000000,,106000000,,691000000,173000000
132482,33.95,1.43,3.54,2.17,1.74,4.08,1.35,3.8,1.08,1.69,6.92,2.87,0.4,0.07,1.39,1.29,2270000000,3350000000,182000000,68500000,71100000000,2600000000,,8350000000,80000000000,8660000000,,1270000000,17900000000,,23400000000,258000000,855000000,260000000,,,1040000000,234000000,2790000000,11627094591
113520,36.48,2,3.8,2.06,1.94,4.1,1.37,4.23,1.15,1.7,7.93,2.86,0.42,0.07,1.45,1.37,1250000000,1800000000,288000000,140000000,55300000000,2110000000,,6590000000,69300000000,7280000000,,492000000,15000000000,,15500000000,283000000,557000000,20100000,,,890000000,175000000,2400000000,5067137893
162374,37.88,2,3.71,2.25,1.93,4.15,1.39,4.4,1.16,1.71,8.21,3.13,0.43,0.08,1.48,1.57,1710000000,6870000000,356000000,406000000,73500000000,3030000000,,18500000000,91500000000,10700000000,,1210000000,21700000000,,22700000000,230000000,1080000000,45300000,,,1200000000,292000000,3380000000,9698123859
163489,43.6,3.43,3.87,2.4,2.08,4.21,1.54,5.39,1.2,1.79,10.57,3.2,0.54,0.1,1.5,1.69,9240000000,5390000000,1050000000,905000000,53200000000,5570000000,110000000,8490000000,81800000000,11000000000,,744000000,16900000000,,19300000000,290000000,773000000,74000000,,,972000000,234000000,3800000000,4180000000
151785,48.52,4.3,4.06,2.8,2.21,4.22,1.65,6.32,1.38,1.66,12.04,3.57,0.53,0.07,1.65,2.04,956000000,1340000000,398000000,528000000,31500000000,3970000000,40000000,6470000000,78200000000,9140000000,,612000000,13200000000,,15100000000,331000000,724000000,28100000,,89500000,828000000,234000000,6690000000,7920131569
195800,41.21,2.55,3.98,2.66,1.91,4.22,1.58,4.9,1.23,1.79,9.25,3.2,0.49,0.08,1.55,1.7,3880000000,2080000000,639000000,75400000,68500000000,3330000000,,7400000000,82000000000,10400000000,,956000000,25400000000,,14700000000,438000000,881000000,133000000,,,1220000000,175000000,4510000000,7115737515
176810,46.21,3.53,4,2.85,2.49,4.25,1.48,5.85,1.36,1.64,10.89,3.53,0.56,0.08,1.58,2.01,3850000000,1440000000,1750000000,866000000,49100000000,17000000000,,7950000000,106000000000,35100000000,,756000000,22600000000,,21700000000,780000000,1150000000,172000000,,,1070000000,409000000,5900000000,5064654746
139493,39.49,2.29,3.71,2.53,2.15,4.1,1.47,4.62,1.16,1.77,8.6,3.25,0.52,0.09,1.47,1.59,3710000000,7040000000,1690000000,225000000,67300000000,3330000000,,5860000000,85300000000,10000000000,,1580000000,20800000000,,20600000000,286000000,1050000000,183000000,,,1120000000,175000000,4220000000,6950000000
